nome_hotel,prezzo_iniziale,prezzo,credito_guadagnato,stanza,città,data,punteggio,stelle,stelle_booking,partner_preferiti,novita,evidenza,numero_recensioni,distanza_centro,genius,offerte,colazione_inclusa,senza_pagamento_anticipato,cancellazione_gratuita,os,username,user_agent_type,TIMESTAMP
Palermo Central B&B,€ 124,€ 76,,Camera Matrimoniale con Bagno Privato Esterno,Palermo,2024-06-15,"10
Punteggio di 10",,,,True,False,6 recensioni,"1,5 km dal centro",False,Offerta a tempo limitato ,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Gran Tour Profumo di Sicilia - B & B,€ 76,€ 69,,Camera Matrimoniale,Palermo,2024-06-15,"7,7
Punteggio di 7,7",,3.0,preferred,False,False,709 recensioni,"0,5 km dal centro",True,,True,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
B&B Alexander-Room and Breakfast,€ 83,€ 75,,Camera Doppia con Letti Singoli con Bagno Privato,Palermo,2024-06-15,"8,5
Punteggio di 8,5",,3.0,preferred_plus,False,False,312 recensioni,"0,6 km dal centro",True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Residenze Chamur- Grattacielo,€ 139,€ 113,Guadagna € 8 di Credito,Camera Matrimoniale Standard,Palermo,2024-06-15,"9,0
Punteggio di 9,0",,4.0,preferred_plus,False,False,325 recensioni,200 m dal centro,True,,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Teatro del Sole Cavour,€ 74,€ 74,,Camera Matrimoniale con Bagno Privato,"Castellammare Vucciria, Palermo",2024-06-15,"8,3
Punteggio di 8,3",,4.0,,False,False,25 recensioni,350 m dal centro,False,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
La Dimora del Massimo,€ 94,€ 94,,Camera Matrimoniale Deluxe,Palermo,2024-06-15,"8,3
Punteggio di 8,3",,4.0,preferred,False,False,621 recensioni,100 m dal centro,False,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Amaranta,€ 69,€ 62,,Camera Matrimoniale con Bagno Privato Esterno,Palermo,2024-06-15,"7,8
Punteggio di 7,8",,3.0,preferred,False,False,669 recensioni,"1,6 km dal centro",True,,False,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Guelio al Massimo Suites&Breakfast,€ 109,€ 99,,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato,"Monte di Pietà, Palermo",2024-06-15,"8,7
Punteggio di 8,7",,3.0,preferred,False,False,426 recensioni,250 m dal centro,True,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Kalatfimi b&b,€ 108,€ 98,,Camera Deluxe Doppia con Letti Singoli,Palermo,2024-06-15,"8,9
Punteggio di 8,9",,3.0,preferred_plus,False,False,218 recensioni,"1,2 km dal centro",True,,False,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Cheap in Center,€ 69,€ 69,,Camera Matrimoniale con Bagno Privato Esterno,"Ruggero Settimo, Palermo",2024-06-15,"8,3
Punteggio di 8,3",,4.0,preferred,False,False,406 recensioni,150 m dal centro,False,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Maximum hub suite&spa,€ 274,€ 138,Guadagna € 10 di Credito,Camera Matrimoniale Deluxe con Vasca,"Ruggero Settimo, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,4.0,preferred_plus,False,False,222 recensioni,"0,7 km dal centro",True,Offerta Vacanze ,True,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Hotel Joli,€ 112,€ 102,,Camera Matrimoniale/Doppia con Letti Singoli,"Ruggero Settimo, Palermo",2024-06-15,"7,7
Punteggio di 7,7",3.0,,preferred,False,False,1.291 recensioni,"0,5 km dal centro",True,,False,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Kala Rooms,€ 124,€ 112,,Camera Tripla con Balcone,"La Kalsa, Palermo",2024-06-15,"9,0
Punteggio di 9,0",,3.0,preferred,False,False,1.041 recensioni,1 km dal centro,True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Vista sul porto,€ 94,€ 85,,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato,"Borgo vecchio, Palermo",2024-06-15,"8,8
Punteggio di 8,8",,3.0,,False,False,546 recensioni,1 km dal centro,True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Capo House,€ 77,€ 77,,Appartamento con 1 Camera da Letto,"Monte di Pietà, Palermo",2024-06-15,"10
Punteggio di 10",,3.0,,True,False,1 recensione,500 m dal centro,False,,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
La terrazza del Sole B&B,€ 94,€ 85,,Camera Doppia con Letti Singoli,Palermo,2024-06-15,"9,0
Punteggio di 9,0",,3.0,preferred,False,False,805 recensioni,"1,8 km dal centro",True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Stupor Mundi Bed and Breakfast,€ 224,€ 101,,Camera Matrimoniale Standard,"Ruggero Settimo, Palermo",2024-06-15,"8,8
Punteggio di 8,8",,3.0,preferred_plus,False,False,335 recensioni,300 m dal centro,True,Offerta Vacanze ,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Vespri Apartments,€ 102,€ 82,Guadagna € 6 di Credito,Appartamentino su 2 Livelli,"La Kalsa, Palermo",2024-06-15,"8,6
Punteggio di 8,6",,4.0,preferred_plus,False,False,157 recensioni,1 km dal centro,True,,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Cannatella's Mansion,€ 76,€ 69,,Camera Deluxe,Palermo,2024-06-15,"7,0
Punteggio di 7,0",,3.0,,False,False,673 recensioni,"0,9 km dal centro",True,,True,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Sicilian Rooms Palermo,€ 193,€ 139,,Camera Matrimoniale Deluxe,"Castellammare Vucciria, Palermo",2024-06-15,"8,0
Punteggio di 8,0",,4.0,preferred_plus,False,False,545 recensioni,200 m dal centro,True,Offerta Vacanze ,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
BeeClaire Guest House,€ 104,€ 94,,Appartamento con 1 Camera da Letto,"Albergaria, Palermo",2024-06-15,"9,2
Punteggio di 9,2",,4.0,preferred,False,False,219 recensioni,"0,8 km dal centro",True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Cartari Apartment,€ 114,€ 103,Guadagna € 7 di Credito,Appartamento con 1 Camera da Letto,"La Kalsa, Palermo",2024-06-15,"8,6
Punteggio di 8,6",,3.0,preferred_plus,False,False,739 recensioni,"0,9 km dal centro",True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Dimora Villareale,€ 74,€ 74,,Camera King con Balcone,"Ruggero Settimo, Palermo",2024-06-15,"7,2
Punteggio di 7,2",,3.0,preferred,False,False,292 recensioni,250 m dal centro,False,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Mama Tita Rooms and Breakfast,€ 126,€ 114,,Camera Matrimoniale/Doppia con Letti Singoli con Balcone,Palermo,2024-06-15,"9,6
Punteggio di 9,6",,4.0,preferred,False,False,476 recensioni,"1,1 km dal centro",True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Borghi di Belmonte,€ 136,€ 123,,Camera Deluxe,"Ruggero Settimo, Palermo",2024-06-15,"9,2
Punteggio di 9,2",,4.0,preferred,False,False,465 recensioni,350 m dal centro,True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Albergo Athenaeum,€ 87,€ 87,,Room Assigned on Arrival,Palermo,2024-06-15,"7,9
Punteggio di 7,9",3.0,,preferred,False,False,1.934 recensioni,"1,8 km dal centro",True,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
B&B In Centro Palermo,€ 139,€ 125,,Camera Matrimoniale Superior,"Ruggero Settimo, Palermo",2024-06-15,"8,7
Punteggio di 8,7",,4.0,preferred,False,False,364 recensioni,450 m dal centro,True,,False,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Jennys place,€ 84,€ 76,,Camera Matrimoniale con Bagno Privato Esterno,Palermo,2024-06-15,"8,9
Punteggio di 8,9",,3.0,preferred,False,False,635 recensioni,"1,6 km dal centro",True,,False,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Dante091,€ 73,€ 66,,Camera Matrimoniale Standard con Bagno in Comune,Palermo,2024-06-15,"8,6
Punteggio di 8,6",,,preferred,False,False,293 recensioni,1 km dal centro,True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
B&B Ammirata,€ 114,€ 103,Guadagna € 7 di Credito,Camera King Standard,Palermo,2024-06-15,"8,7
Punteggio di 8,7",,3.0,preferred_plus,False,False,239 recensioni,"1,4 km dal centro",True,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
B&B Xenia,€ 81,€ 73,,Camera Matrimoniale con Balcone,"Albergaria, Palermo",2024-06-15,"8,7
Punteggio di 8,7",,3.0,preferred,False,False,695 recensioni,"1,2 km dal centro",True,,True,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
A Casa di Fra',€ 58,€ 58,,Camera Matrimoniale con Bagno Privato Esterno,Palermo,2024-06-15,"8,2
Punteggio di 8,2",,3.0,,False,False,151 recensioni,2 km dal centro,False,,True,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Suite Palermo Apartment,€ 124,€ 112,,Camera Queen Superior,Palermo,2024-06-15,"9,3
Punteggio di 9,3",,4.0,preferred,False,False,265 recensioni,"1,7 km dal centro",True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Ai Crociferi,€ 104,€ 104,,Camera Quadrupla Deluxe,"Castellammare Vucciria, Palermo",2024-06-15,"9,6
Punteggio di 9,6",,,,True,False,19 recensioni,"0,6 km dal centro",False,,False,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Casa di Paola,€ 79,€ 79,,Camera Matrimoniale con Bagno Privato Esterno,"Monte di Pietà, Palermo",2024-06-15,"10
Punteggio di 10",,4.0,,True,False,9 recensioni,350 m dal centro,False,,False,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Pretoria Rooms,€ 114,€ 114,Guadagna € 8 di Credito,Camera Matrimoniale Deluxe con Balcone,"Castellammare Vucciria, Palermo",2024-06-15,"8,3
Punteggio di 8,3",,4.0,preferred_plus,False,False,531 recensioni,"0,7 km dal centro",False,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
B&B Le Porte Del Centro,€ 114,€ 103,,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato,"Ruggero Settimo, Palermo",2024-06-15,"9,4
Punteggio di 9,4",,4.0,preferred,False,False,117 recensioni,"0,7 km dal centro",True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Hotel Cortese,€ 93,€ 84,,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato,"Albergaria, Palermo",2024-06-15,"7,7
Punteggio di 7,7",2.0,,preferred,False,False,726 recensioni,"0,9 km dal centro",True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Antica Palermo B&B,€ 104,€ 94,,Camera Matrimoniale,"Castellammare Vucciria, Palermo",2024-06-15,"8,5
Punteggio di 8,5",,3.0,preferred,False,False,339 recensioni,"0,7 km dal centro",True,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Bed and Breakfast Palermo Centro,€ 83,€ 75,,Camera Matrimoniale/Doppia con Letti Singoli,Palermo,2024-06-15,"7,0
Punteggio di 7,0",,3.0,preferred,False,False,128 recensioni,"1,4 km dal centro",True,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
5Venti Rental Rooms,€ 128,€ 113,Guadagna € 8 di Credito,Camera Quadrupla con Balcone,"La Kalsa, Palermo",2024-06-15,"9,2
Punteggio di 9,2",,4.0,preferred_plus,False,False,375 recensioni,1 km dal centro,True,,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Nuovo Cortile Palermo Bed and Breakfast,€ 84,€ 76,,Camera Matrimoniale,Palermo,2024-06-15,"7,9
Punteggio di 7,9",,3.0,preferred,False,False,175 recensioni,350 m dal centro,True,,False,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Piazza Marina,€ 139,€ 101,,Camera Matrimoniale con Bagno Privato Esterno,"La Kalsa, Palermo",2024-06-15,"8,8
Punteggio di 8,8",,4.0,preferred_plus,False,False,143 recensioni,"1,1 km dal centro",True,Offerta Vacanze ,False,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Bed in Spa,€ 143,€ 129,Guadagna € 9 di Credito,Camera Matrimoniale Superior,"Ruggero Settimo, Palermo",2024-06-15,"9,0
Punteggio di 9,0",,4.0,preferred_plus,False,False,496 recensioni,300 m dal centro,True,,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
dariopeace15 central station,€ 59,€ 59,,Camera Matrimoniale con Balcone (3 Adulti),Palermo,2024-06-15,"8,5
Punteggio di 8,5",,,,False,False,93 recensioni,"1,7 km dal centro",False,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Galka Rooms,€ 74,€ 74,,Camera Matrimoniale con Bagno Privato,"Albergaria, Palermo",2024-06-15,"9,3
Punteggio di 9,3",,3.0,,False,False,53 recensioni,"1,3 km dal centro",False,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Binario 91 Rooms,€ 126,€ 90,Guadagna € 6 di Credito,Camera Matrimoniale Piccola con Balcone,Palermo,2024-06-15,"9,2
Punteggio di 9,2",,3.0,preferred_plus,False,False,281 recensioni,"1,6 km dal centro",True,Offerta SuperSegreta ,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Hotel Pontemare,€ 148,€ 134,,Camera Matrimoniale,Palermo,2024-06-15,"8,4
Punteggio di 8,4",4.0,,preferred,False,False,947 recensioni,"0,8 km dal centro",True,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
SuperAttico Bella Bellù,€ 151,€ 126,Guadagna € 9 di Credito,Camera King Standard,"Ruggero Settimo, Palermo",2024-06-15,"8,6
Punteggio di 8,6",,4.0,preferred_plus,False,True,217 recensioni,"0,9 km dal centro",True,,True,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
B&B Ai Tintori,€ 103,€ 93,,Camera Matrimoniale Standard,"Castellammare Vucciria, Palermo",2024-06-15,"8,5
Punteggio di 8,5",,4.0,preferred,False,False,671 recensioni,"0,9 km dal centro",True,,False,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Al Politeama Rooms B&B,€ 79,€ 71,,Camera Matrimoniale con Bagno in Comune,"Borgo vecchio, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,,preferred,False,False,660 recensioni,"0,7 km dal centro",True,,True,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
B&B IL POETA,€ 62,€ 62,,Camera Deluxe Matrimoniale/Doppia con Letti Singoli,Palermo,2024-06-15,"7,8
Punteggio di 7,8",,,,False,False,451 recensioni,1 km dal centro,False,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
La Casa del Moro - Al Politeama,€ 114,€ 103,,Camera Tripla Comfort,"Borgo vecchio, Palermo",2024-06-15,"8,5
Punteggio di 8,5",,3.0,preferred,False,False,366 recensioni,"0,7 km dal centro",True,,False,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Rooms 19 - Rooms and Breakfast,€ 126,€ 97,,Camera Matrimoniale con Balcone,"Castellammare Vucciria, Palermo",2024-06-15,"9,2
Punteggio di 9,2",,3.0,preferred,False,False,147 recensioni,"0,6 km dal centro",True,Offerta Vacanze ,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Vossia Luxury Rooms & Sicilian Living,€ 209,€ 189,,Camera Matrimoniale Deluxe,"Monte di Pietà, Palermo",2024-06-15,"9,5
Punteggio di 9,5",,4.0,,False,False,452 recensioni,"0,6 km dal centro",True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
ALBA DEL CAPO,€ 130,€ 117,,Junior Suite Deluxe,Palermo,2024-06-15,"8,3
Punteggio di 8,3",,3.0,preferred,False,False,1.124 recensioni,200 m dal centro,True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
La Maison del Sole,€ 132,€ 132,Guadagna € 9 di Credito,Camera Deluxe,"Castellammare Vucciria, Palermo",2024-06-15,"9,2
Punteggio di 9,2",,4.0,preferred_plus,False,False,1.606 recensioni,500 m dal centro,False,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Hotel d'Orleans,€ 103,€ 94,,Camera Matrimoniale,Palermo,2024-06-15,"8,3
Punteggio di 8,3",3.0,,preferred,False,False,331 recensioni,"1,6 km dal centro",True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
La Dimora dei sette Arcangeli,€ 69,€ 69,,Camera Budget Matrimoniale/Doppia con Letti Singoli,Palermo,2024-06-15,"8,4
Punteggio di 8,4",,3.0,preferred,False,False,390 recensioni,"1,8 km dal centro",False,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Locanda Sette Fate SPA e Solarium,€ 164,€ 148,,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato,"Albergaria, Palermo",2024-06-15,"9,2
Punteggio di 9,2",,4.0,preferred,False,False,434 recensioni,"0,9 km dal centro",True,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Al SiciliAndo B&B,€ 82,€ 74,,Camera Matrimoniale con Bagno Privato,Palermo,2024-06-15,"8,4
Punteggio di 8,4",,3.0,preferred,False,False,210 recensioni,"1,7 km dal centro",True,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
"Giulio Cesare 14, Residence",€ 111,€ 101,,Camera Matrimoniale,Palermo,2024-06-15,"8,3
Punteggio di 8,3",,,preferred,False,False,828 recensioni,"1,5 km dal centro",True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Bedda Mari Rooms & Suite,€ 149,€ 135,,Camera Matrimoniale Deluxe con Balcone,"La Kalsa, Palermo",2024-06-15,"9,0
Punteggio di 9,0",,4.0,preferred,False,False,494 recensioni,"0,9 km dal centro",True,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
BONORUM De Spuches,€ 98,€ 89,,Camera Deluxe (2 Adulti + 1 Bambino),Palermo,2024-06-15,"8,3
Punteggio di 8,3",,3.0,preferred,False,False,702 recensioni,"0,8 km dal centro",True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Hospitality Hotel,€ 137,€ 114,Guadagna € 8 di Credito,Camera Matrimoniale/Doppia con Letti Singoli,Palermo,2024-06-15,"8,1
Punteggio di 8,1",3.0,,preferred_plus,False,False,459 recensioni,"1,6 km dal centro",True,,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Ruggero Settimo Gallery,€ 147,€ 132,,Camera Deluxe,"Ruggero Settimo, Palermo",2024-06-15,"9,1
Punteggio di 9,1",,3.0,preferred,False,False,316 recensioni,250 m dal centro,True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Palazzo Benso,€ 114,€ 103,,Camera Matrimoniale/Doppia con Letti Singoli,Palermo,2024-06-15,"8,9
Punteggio di 8,9",,4.0,preferred,False,False,551 recensioni,"0,7 km dal centro",True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Barlaman Luxury Rooms,€ 94,€ 84,,Camera Matrimoniale Deluxe,"La Kalsa, Palermo",2024-06-15,"9,5
Punteggio di 9,5",,4.0,preferred,False,False,489 recensioni,"0,9 km dal centro",True,,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Real Fonderia b&b,€ 220,€ 126,Guadagna € 9 di Credito,Camera Matrimoniale Deluxe (2 Adulti + 1 Bambino),"Castellammare Vucciria, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,3.0,preferred_plus,False,False,462 recensioni,"0,8 km dal centro",True,Offerta Vacanze ,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
B&B Dimora Annulina,€ 94,€ 68,,Camera Matrimoniale/Doppia con Letti Singoli,Palermo,2024-06-15,"7,3
Punteggio di 7,3",,3.0,preferred,False,False,1.307 recensioni,"1,6 km dal centro",True,Offerta Vacanze ,True,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Viola Home,€ 69,€ 63,,Appartamento con 1 Camera da Letto,"Monte di Pietà, Palermo",2024-06-15,"8,7
Punteggio di 8,7",,3.0,,False,False,38 recensioni,"0,6 km dal centro",True,,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Casa Come Me,€ 77,€ 77,,Camera Matrimoniale Economy,"Borgo vecchio, Palermo",2024-06-15,"8,1
Punteggio di 8,1",,,,False,False,270 recensioni,"0,9 km dal centro",False,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Antista Rooms,€ 73,€ 73,,Camera Matrimoniale con Bagno Privato,"La Kalsa, Palermo",2024-06-15,"8,8
Punteggio di 8,8",,,,False,False,179 recensioni,"1,3 km dal centro",False,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
"Open Sicily Homes ""Residence Guascone"" - Self check in",€ 187,€ 159,Guadagna € 11 di Credito,Appartamento Standard,"La Kalsa, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,4.0,preferred_plus,False,False,432 recensioni,1 km dal centro,True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Palermo Gallery,€ 144,€ 127,,Camera Matrimoniale,"Ruggero Settimo, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,4.0,preferred,False,False,691 recensioni,"0,7 km dal centro",True,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Politeama Center,€ 94,€ 94,,Camera Matrimoniale,"Borgo vecchio, Palermo",2024-06-15,"8,3
Punteggio di 8,3",,3.0,preferred,False,False,455 recensioni,"0,6 km dal centro",False,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
BONORUM,€ 94,€ 85,,Camera Matrimoniale Standard,Palermo,2024-06-15,"7,9
Punteggio di 7,9",,3.0,preferred,False,False,762 recensioni,"1,1 km dal centro",True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Hotel Garibaldi,€ 159,€ 144,,Camera Matrimoniale/Doppia con Letti Singoli,"Ruggero Settimo, Palermo",2024-06-15,"7,9
Punteggio di 7,9",4.0,,preferred,False,False,3.474 recensioni,450 m dal centro,True,,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Massimo Plaza Hotel,€ 218,€ 197,,Camera Matrimoniale/Doppia con Letti Singoli,"Castellammare Vucciria, Palermo",2024-06-15,"8,3
Punteggio di 8,3",4.0,,preferred,False,False,496 recensioni,150 m dal centro,True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
BB 10 Serpotta & Restaurant,€ 124,€ 101,,Camera Matrimoniale/Doppia con Letti Singoli,"Ruggero Settimo, Palermo",2024-06-15,"8,5
Punteggio di 8,5",,4.0,preferred,False,False,317 recensioni,"0,6 km dal centro",True,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
B&B AL PASSIO,€ 157,€ 100,,Camera Matrimoniale/Doppia con Letti Singoli con Terrazza,"Borgo vecchio, Palermo",2024-06-15,"9,0
Punteggio di 9,0",,4.0,preferred,False,False,474 recensioni,"0,6 km dal centro",True,Offerta Vacanze ,True,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Il Quadrifoglio Room& Suite,€ 96,€ 87,,Camera Matrimoniale/Doppia con Letti Singoli,"Ruggero Settimo, Palermo",2024-06-15,"8,2
Punteggio di 8,2",,3.0,preferred,False,False,246 recensioni,250 m dal centro,True,,True,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
B&B Attico 33,€ 115,€ 104,,Camera Matrimoniale con Bagno Privato,"Ruggero Settimo, Palermo",2024-06-15,"9,2
Punteggio di 9,2",,4.0,preferred,False,False,258 recensioni,"0,6 km dal centro",True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Suite del Ponte Normanno Vespro,€ 111,€ 100,,Camera King Superior,Palermo,2024-06-15,"9,0
Punteggio di 9,0",,4.0,preferred,False,False,229 recensioni,"1,7 km dal centro",True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Hotel Concordia,€ 108,€ 97,,Camera Tripla,"La Kalsa, Palermo",2024-06-15,"8,1
Punteggio di 8,1",1.0,,preferred,False,False,1.603 recensioni,"1,2 km dal centro",True,,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Belmonte102 Esclusive Suites,€ 154,€ 139,,Camera Deluxe Matrimoniale/Doppia con Letti Singoli con Balcone,"Ruggero Settimo, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,4.0,preferred,False,False,586 recensioni,350 m dal centro,True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Abali' Gran Sultanato,€ 127,€ 114,,Camera King Standard,"Monte di Pietà, Palermo",2024-06-15,"8,7
Punteggio di 8,7",,4.0,preferred,False,False,451 recensioni,350 m dal centro,True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
La casa di Chele,€ 114,€ 103,,Camera Matrimoniale con Bagno Privato,"Castellammare Vucciria, Palermo",2024-06-15,"9,1
Punteggio di 9,1",,4.0,,False,False,122 recensioni,"0,8 km dal centro",True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Sicilia bedda,€ 72,€ 65,,Appartamento con 1 Camera da Letto,Palermo,2024-06-15,"7,7
Punteggio di 7,7",,3.0,,False,False,44 recensioni,"1,5 km dal centro",True,,False,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Le Cupole Design,€ 131,€ 112,Guadagna € 8 di Credito,Camera King Standard,"Castellammare Vucciria, Palermo",2024-06-15,"9,4
Punteggio di 9,4",,4.0,preferred_plus,False,False,219 recensioni,"0,5 km dal centro",True,,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
B&B Abbacò,€ 94,€ 85,,Camera Matrimoniale con Bagno Privato Esterno,"Castellammare Vucciria, Palermo",2024-06-15,"7,4
Punteggio di 7,4",,3.0,preferred,False,False,442 recensioni,450 m dal centro,True,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
Mille Lire,€ 90,€ 79,,Junior Suite con Balcone,"La Kalsa, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,,,False,False,235 recensioni,"1,4 km dal centro",True,,True,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
NH Palermo,€ 164,€ 164,,Camera Standard Matrimoniale/Doppia con Letti Singoli,"La Kalsa, Palermo",2024-06-15,"7,8
Punteggio di 7,8",4.0,,preferred,False,False,3.552 recensioni,"1,7 km dal centro",False,,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Palermo alla Gancia,€ 75,€ 75,,Camera Matrimoniale Economy,"La Kalsa, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,4.0,,False,False,152 recensioni,"1,3 km dal centro",False,,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
AUSA suites,€ 175,€ 98,Guadagna € 7 di Credito,Camera Matrimoniale,"La Kalsa, Palermo",2024-06-15,"9,0
Punteggio di 9,0",,4.0,preferred_plus,False,False,223 recensioni,"1,3 km dal centro",False,Offerta a tempo limitato ,False,False,False,Windows,marcofantile,desktop,05-07-2024---12:36
Casa Nostra B&B,€ 154,€ 139,,Camera King Superior,"Monte di Pietà, Palermo",2024-06-15,"7,7
Punteggio di 7,7",,3.0,preferred,False,False,246 recensioni,300 m dal centro,True,,True,True,True,Windows,marcofantile,desktop,05-07-2024---12:36
Via Roma 315 Bed and Breakfast,€ 114,€ 114,,Camera Tripla con Bagno Privato,"Castellammare Vucciria, Palermo",2024-06-15,"9,4
Punteggio di 9,4",,4.0,preferred,False,False,364 recensioni,450 m dal centro,False,,False,False,True,Windows,marcofantile,desktop,05-07-2024---12:36
